Date,Downloads
2024-11-30,42
2024-12-01,61
2024-12-02,53
2024-12-03,52
2024-12-04,64
2024-12-05,61
2024-12-06,65
2024-12-07,61
2024-12-08,38
2024-12-09,81
2024-12-10,41
2024-12-11,53
2024-12-12,34
2024-12-13,47
2024-12-14,61
2024-12-15,51
2024-12-16,70
2024-12-17,64
2024-12-18,90
2024-12-19,57
2024-12-20,25
2024-12-21,38
2024-12-22,27
2024-12-23,31
2024-12-24,75
2024-12-25,122
2024-12-26,85
2024-12-27,43
2024-12-28,27
2024-12-29,80
2024-12-30,58
2024-12-31,45
2025-01-01,63
2025-01-02,51
2025-01-03,57
2025-01-04,53
2025-01-05,43
2025-01-06,414
2025-01-07,559
2025-01-08,378
2025-01-09,476
2025-01-10,61
2025-01-11,40
2025-01-12,47
2025-01-13,72
2025-01-14,36
2025-01-15,43
2025-01-16,47
2025-01-17,23
2025-01-18,46
2025-01-19,60
2025-01-20,45
2025-01-21,34
2025-01-22,27
2025-01-23,43
2025-01-24,22
2025-01-25,23
2025-01-26,49
2025-01-27,92
2025-01-28,26
2025-01-29,40
2025-01-30,51
2025-01-31,31
2025-02-01,11
2025-02-02,64
2025-02-03,36
2025-02-04,37
2025-02-05,31
2025-02-06,29
2025-02-07,37
2025-02-08,20
2025-02-09,40
2025-02-10,46
2025-02-11,688
2025-02-12,367
2025-02-13,227
2025-02-14,132
2025-02-15,100
2025-02-16,188
2025-02-17,161
2025-02-18,115
2025-02-19,94
2025-02-20,84
2025-02-21,57
2025-02-22,74
2025-02-23,64
2025-02-24,85
2025-02-25,736
2025-02-26,261
2025-02-27,186
2025-02-28,195
2025-03-01,164
2025-03-02,227
2025-03-03,164
2025-03-04,170
2025-03-05,114
2025-03-06,73
2025-03-07,85
2025-03-08,64
2025-03-09,130
2025-03-10,94
2025-03-11,718
2025-03-12,348
2025-03-13,244
2025-03-14,142
2025-03-15,142
2025-03-16,92
2025-03-17,180
2025-03-18,192
2025-03-19,191
2025-03-20,136
2025-03-21,95
2025-03-22,130
2025-03-23,1857
2025-03-24,3200
2025-03-25,2784
2025-03-26,2739
2025-03-27,2278
2025-03-28,2572
2025-03-29,856
2025-03-30,3978
2025-03-31,2240
2025-04-01,1420
2025-04-02,854
2025-04-03,971
2025-04-04,1900
2025-04-05,2371
2025-04-06,3189
2025-04-07,3899
2025-04-08,3612
2025-04-09,3693
2025-04-10,3233
2025-04-11,3407
2025-04-12,3469
2025-04-13,3201
2025-04-14,1862
2025-04-15,474
2025-04-16,284
2025-04-17,216
2025-04-18,257
2025-04-19,200
2025-04-20,152
2025-04-21,164
2025-04-22,2869
2025-04-23,1188
2025-04-24,4707
2025-04-25,1642
2025-04-26,733
2025-04-27,573
2025-04-28,3326
2025-04-29,295
2025-04-30,278
2025-05-01,524
2025-05-02,2226
2025-05-03,2546
2025-05-04,2842
2025-05-05,2712
2025-05-06,5567
2025-05-07,4023
2025-05-08,2906
2025-05-09,1087
2025-05-10,1028
2025-05-11,939
2025-05-12,3371
2025-05-13,0
2025-05-13,1409
2025-05-14,393
2025-05-15,370
2025-05-16,1937
2025-05-17,678
2025-05-18,319
2025-05-19,17
2025-05-20,2302
2025-05-21,876
2025-05-22,577
2025-05-23,569
2025-05-24,1979
2025-05-25,1457
2025-05-26,2315
2025-05-27,384
2025-05-28,321
2025-05-29,295
2025-05-30,306
2025-05-31,286
2025-06-01,196
2025-06-02,240
2025-06-03,252
2025-06-04,740
2025-06-05,579
