Region,Sub-Region,Event Name,SF Campaign Link,Ad Campaign Name,Event Start Date,Event End Date,Event Dashboard Category,Event Type,Event Budget - Pls input in SF campaign,Event Actual Cost - Pls input in SF campaign ,Audience,
EMEA,Germany,DMEXCO,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009GWZIA2/view,Event-Tradeshow | PC - 20230920 | DACH DMEXCO,20/09/2023,21/09/2023,External,Event-Tradeshow,TBD,,,TRUE
EMEA,Germany,Affiliate Conference,TBD,,,,#N/A,,,,,FALSE
EMEA,Germany,Christmas Market Fun,TBD,,,,#N/A,,,,,FALSE
EMEA,Italy,Opening Party Milan,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009ESbIAM/view,Event-Hosted | 2023-06-07 | Opening party - Milan office,6/7/2023,6/7/2023,Impact.com Hosted,Event-Hosted,"$5,000","$4,950",,TRUE
EMEA,Italy,Own the city Q2,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009ESgIAM/view,Event-Hosted | 2023-07-04 | Truffle hunting and exclusive dinner - Italy,7/4/2023,7/4/2023,,Event-Hosted,"$2,000",,,TRUE
EMEA,France,Paris Retail Week,https://impactradius.lightning.force.com/lightning/r/Campaign/701K50000009J12IAE/view,Event-Tradeshow | PC - 20230919 | Paris Retail Week,9/19/2023,9/21/2023,External,Event-Tradeshow,"$15,000","$15,346",,TRUE
EMEA,UK,Performance Marketing World 24,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007fgTtYAI/view,Event-Tradeshow | PC - 20240305 | Performance Marketing World UK,3/5/2024,3/6/2024,,Event-Tradeshow,"$22,000","$21,014",Affiliate/Partnerships,TRUE
EMEA,UK,Affiliate Huddle 24,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE000007fSPMYA2/view,Event-Tradeshow | PC - 20240423 | Affiliate Huddle,4/23/2024,4/23/2024,,Event-Tradeshow,"$35,000","$34,073",Affiliate/Partnerships,TRUE
EMEA,UK,iPX2024 London,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE0000096cbkYAA/view,Event-Hosted | 2024-07-03 | iPX24 London,7/3/2024,7/3/2024,,Event-Hosted,"$90,000","$130,218",Affiliate/Partnerships,TRUE
EMEA,UK,Affilifest,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000G9NAjYAN/view,Event-Tradeshow | PC - 20240904 | Affilifest - UK,,,,Event-Tradeshow,"$10,000","$8,712",Affiliate/Partnerships,TRUE
EMEA,UK,PI Live Europe 2024,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000IcVy7YAF/view,Event-Tradeshow | PC - 20241022 | PI Live Europe - London,,,,Event-Tradeshow,"$60,000","$49,815",Affiliate/Partnerships,TRUE
EMEA,UK,Creatorfest,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000IcIw9YAF/view,Event-Tradeshow | PC - 20241024 | CreatorFest - London,,,,Event-Tradeshow,"$42,000","$34,619",Affiliate/Partnerships,TRUE
EMEA,Italy,Netcomm Forum,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000BloO7YAJ/view,Event-Tradeshow | PC - 20240508 | Netcomm Forum - Italy,8/5/2024,8/5/2024,External,Event-Tradeshow,,,,TRUE
EMEA,UK,VIP Dinner Jan 25,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000LhGlQYAV/view,Event-Hosted | PC - 20250130 | VIP Dinner London,30/01/2025,30/01/2025,Impact.com Hosted,Event-Hosted,"$12,000","$19,334",Affiliate/Partnerships,TRUE
EMEA,UK,Performance Marketing World Unlocked,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000NZRsxYAH/view,Event-Tradeshow | PC - 20250304 | Performance Marketing World Unlocked - London,4/1/2025,05/01/2025,External,Event-Tradeshow,"$18,397","$21,284",Affiliate/Partnerships,TRUE
EMEA,UK,Affilifest,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000OflelYAB/view,Event-Tradeshow | PC - 20250501 | Affilifest - UK,,,,,,,,TRUE
EMEA,UK,iPX25 London,https://impactradius.lightning.force.com/lightning/r/Campaign/701PE00000NInbJYAT/view,Event-Hosted | PC - 20250625 | iPX25 London,25/06/2025,25/06/2025,Impact.com Hosted,Event-Hosted,TBC,,,TRUE
