date,week,year,mql_count
2024-08-20,33,2024,122
2024-09-23,38,2024,66
2025-04-15,15,2025,44
2018-10-24,42,2018,20
2018-06-10,23,2018,2
2018-06-21,24,2018,2
2018-08-17,32,2018,4
2018-10-06,39,2018,2
2018-11-12,45,2018,6
2018-11-15,45,2018,4
2018-11-17,45,2018,3
2018-11-19,46,2018,5
2018-11-24,46,2018,1
2018-11-28,47,2018,9
2018-12-04,48,2018,5
2022-02-15,7,2022,95
2022-02-25,8,2022,36
2022-03-20,12,2022,30
2022-04-05,14,2022,60
2022-06-24,25,2022,29
2018-07-17,28,2018,3
2018-08-20,33,2018,2
2017-12-25,52,2017,1
2019-04-15,15,2019,13
2018-07-13,27,2018,4
2019-01-03,0,2019,4
2019-03-25,12,2019,13
2019-05-28,21,2019,8
2019-07-04,26,2019,4
2019-09-24,38,2019,30
2019-10-11,40,2019,19
2019-10-23,42,2019,11
2019-10-25,42,2019,10
2019-10-31,43,2019,5
2018-03-02,8,2018,4
2018-03-12,10,2018,4
2018-03-30,12,2018,6
2018-05-18,19,2018,1
2018-05-29,21,2018,3
2018-07-16,28,2018,5
2017-06-30,26,2017,3
2017-07-19,29,2017,3
2018-04-23,16,2018,4
2018-06-20,24,2018,5
2018-06-25,25,2018,2
2018-07-19,28,2018,3
2018-07-20,28,2018,2
2018-07-24,29,2018,6
2018-07-31,30,2018,5
2018-08-08,31,2018,3
2018-08-23,33,2018,3
2018-03-10,9,2018,4
2023-05-16,20,2023,417
2018-04-04,13,2018,2
2018-04-10,14,2018,3
2018-04-19,15,2018,3
2018-05-11,18,2018,1
2018-05-21,20,2018,1
2018-05-27,21,2018,1
2018-05-30,21,2018,1
2018-06-01,21,2018,4
2018-06-05,22,2018,4
2018-06-27,25,2018,2
2018-06-29,25,2018,2
2018-07-04,26,2018,1
2018-07-09,27,2018,5
2021-07-14,28,2021,40
2021-08-25,34,2021,46
2017-04-24,17,2017,5
2017-06-07,23,2017,2
2019-10-04,39,2019,11
2017-09-03,36,2017,1
2019-02-04,5,2019,6
2018-10-01,39,2018,3
2018-02-02,4,2018,2
2018-02-03,4,2018,2
2018-02-26,8,2018,5
2018-04-01,13,2018,2
2018-04-07,13,2018,1
2018-04-08,14,2018,2
2018-05-09,18,2018,1
2018-05-25,20,2018,3
2018-06-02,21,2018,1
2018-06-15,23,2018,4
2018-06-19,24,2018,2
2018-06-22,24,2018,7
2018-06-30,25,2018,2
2018-07-12,27,2018,2
2018-07-23,29,2018,7
2018-07-26,29,2018,4
2018-07-30,30,2018,3
2018-08-09,31,2018,6
2018-08-24,33,2018,3
2018-12-12,49,2018,3
2018-10-09,40,2018,5
2018-10-23,42,2018,7
2018-10-26,42,2018,8
2018-11-27,47,2018,4
2018-12-06,48,2018,6
2019-01-07,1,2019,3
2020-10-28,43,2020,46
2019-01-04,0,2019,5
2019-01-23,3,2019,13
2019-01-24,3,2019,16
2019-01-28,4,2019,16
2019-01-29,4,2019,18
2019-01-31,4,2019,62
2019-02-02,4,2019,5
2019-03-01,8,2019,25
2019-03-03,9,2019,8
2019-03-07,9,2019,8
2019-03-11,10,2019,14
2019-03-21,11,2019,18
2019-04-01,13,2019,4
2019-04-11,14,2019,6
2019-04-19,15,2019,5
2019-04-21,16,2019,1
2019-04-26,16,2019,8
2019-04-29,17,2019,7
2019-05-08,18,2019,5
2019-07-11,27,2019,7
2020-06-29,26,2020,12
2019-05-17,19,2019,5
2019-05-22,20,2019,13
2019-06-13,23,2019,7
2019-07-26,29,2019,15
2019-06-06,22,2019,15
2019-06-10,23,2019,10
2019-06-21,24,2019,15
2019-08-22,33,2019,12
2019-06-30,26,2019,7
2019-07-08,27,2019,14
2019-07-14,28,2019,6
2019-07-28,30,2019,4
2019-08-02,30,2019,7
2019-08-06,31,2019,16
2019-08-08,31,2019,5
2020-04-04,13,2020,10
2019-08-10,31,2019,4
2019-08-13,32,2019,23
2019-08-14,32,2019,45
2019-08-16,32,2019,6
2019-08-19,33,2019,33
2019-08-26,34,2019,11
2019-09-02,35,2019,4
2019-09-07,35,2019,4
2020-08-04,31,2020,20
2019-09-17,37,2019,9
2019-09-30,39,2019,9
2019-10-09,40,2019,14
2019-10-18,41,2019,51
2019-11-14,45,2019,12
2019-12-16,50,2019,60
2021-02-16,7,2021,33
2020-01-24,3,2020,14
2020-01-26,4,2020,10
2020-01-30,4,2020,16
2020-02-02,5,2020,7
2020-02-10,6,2020,13
2020-02-14,6,2020,12
2021-07-24,29,2021,32
2020-02-12,6,2020,13
2020-02-17,7,2020,17
2020-03-12,10,2020,15
2020-02-18,7,2020,15
2020-02-20,7,2020,24
2020-02-25,8,2020,8
2020-08-26,34,2020,34
2020-02-27,8,2020,10
2020-03-08,10,2020,5
2020-03-10,10,2020,18
2020-03-11,10,2020,10
2021-09-16,37,2021,70
2020-04-06,14,2020,18
2020-03-31,13,2020,14
2020-04-07,14,2020,13
2020-04-14,15,2020,13
2020-04-24,16,2020,11
2020-04-22,16,2020,31
2020-04-27,17,2020,11
2020-05-01,17,2020,43
2021-06-24,25,2021,29
2020-05-07,18,2020,15
2020-05-13,19,2020,19
2020-05-20,20,2020,14
2020-05-21,20,2020,20
2020-05-25,21,2020,9
2020-05-26,21,2020,11
2020-05-29,21,2020,16
2020-06-01,22,2020,14
2020-06-02,22,2020,11
2020-06-03,22,2020,16
2020-06-04,22,2020,10
2020-06-05,22,2020,7
2020-06-06,22,2020,11
2020-06-08,23,2020,11
2020-06-09,23,2020,17
2020-06-10,23,2020,18
2020-06-11,23,2020,20
2020-06-13,23,2020,8
2020-06-14,24,2020,10
2020-06-16,24,2020,9
2020-06-18,24,2020,16
2020-07-21,29,2020,23
2020-06-19,24,2020,11
2020-06-21,25,2020,3
2020-06-22,25,2020,10
2020-06-23,25,2020,8
2020-06-24,25,2020,9
2020-07-17,28,2020,23
2020-06-25,25,2020,15
2020-06-26,25,2020,17
2020-06-28,26,2020,7
2020-07-27,30,2020,16
2020-07-01,26,2020,12
2020-08-20,33,2020,11
2020-07-10,27,2020,18
2020-07-15,28,2020,11
2020-07-19,29,2020,6
2020-07-20,29,2020,11
2020-07-30,30,2020,10
2020-07-23,29,2020,19
2020-07-26,30,2020,10
2024-10-03,39,2024,75
2020-07-31,30,2020,9
2020-08-05,31,2020,46
2020-08-12,32,2020,10
2024-07-16,28,2024,68
2020-08-24,34,2020,12
2020-08-28,34,2020,6
2020-11-05,44,2020,28
2020-09-16,37,2020,13
2021-05-08,18,2021,8
2020-10-15,41,2020,13
2020-11-02,44,2020,11
2020-12-10,49,2020,43
2020-11-19,46,2020,26
2020-12-25,51,2020,13
2021-01-18,3,2021,63
2021-01-20,3,2021,66
2021-01-21,3,2021,38
2021-01-25,4,2021,25
2021-02-09,6,2021,20
2021-06-13,24,2021,14
2021-03-30,13,2021,12
2021-04-27,17,2021,36
2021-04-30,17,2021,21
2021-06-08,23,2021,23
2021-06-10,23,2021,16
2021-05-25,21,2021,80
2021-07-13,28,2021,37
2021-06-03,22,2021,130
2021-06-12,23,2021,17
2021-06-14,24,2021,26
2021-07-26,30,2021,36
2021-06-15,24,2021,23
2021-06-17,24,2021,26
2021-06-18,24,2021,25
2021-06-19,24,2021,6
2021-06-20,25,2021,12
2021-06-22,25,2021,30
2021-06-23,25,2021,43
2021-06-25,25,2021,25
2021-06-26,25,2021,9
2021-06-28,26,2021,31
2021-06-29,26,2021,43
2021-07-19,29,2021,45
2021-06-30,26,2021,42
2021-07-01,26,2021,35
2021-07-02,26,2021,28
2021-07-06,27,2021,38
2021-07-07,27,2021,41
2021-07-08,27,2021,44
2021-07-09,27,2021,25
2021-07-10,27,2021,22
2021-07-11,28,2021,26
2021-07-12,28,2021,43
2021-07-15,28,2021,26
2021-07-16,28,2021,28
2021-07-17,28,2021,23
2021-07-18,29,2021,21
2021-07-20,29,2021,49
2021-07-21,29,2021,33
2021-07-22,29,2021,39
2021-07-23,29,2021,39
2021-07-25,30,2021,25
2021-07-27,30,2021,29
2021-07-29,30,2021,23
2021-09-17,37,2021,90
2021-08-01,31,2021,26
2021-08-02,31,2021,49
2021-08-03,31,2021,40
2021-08-04,31,2021,53
2021-09-07,36,2021,52
2021-08-05,31,2021,59
2021-08-06,31,2021,49
2021-08-07,31,2021,34
2021-08-08,32,2021,25
2021-08-09,32,2021,38
2021-08-10,32,2021,70
2021-08-11,32,2021,54
2021-08-12,32,2021,51
2021-08-13,32,2021,35
2021-08-16,33,2021,55
2021-08-18,33,2021,87
2021-08-20,33,2021,57
2021-08-21,33,2021,39
2021-08-22,34,2021,38
2021-08-23,34,2021,103
2021-08-26,34,2021,60
2021-09-05,36,2021,32
2021-08-29,35,2021,11
2021-08-30,35,2021,50
2021-08-31,35,2021,52
2021-09-01,35,2021,55
2021-09-02,35,2021,39
2021-09-03,35,2021,40
2021-09-04,35,2021,19
2021-09-06,36,2021,28
2021-09-08,36,2021,37
2021-09-11,36,2021,31
2021-09-13,37,2021,62
2021-09-14,37,2021,45
2021-09-15,37,2021,75
2021-09-18,37,2021,15
2021-09-19,38,2021,18
2021-09-20,38,2021,29
